rank,sku,pid,commentId,commentDate,score,countryCode,user,comment,imageUrls
4,CJGY2064580,2406200640451621700,2507140608061613501,2025-07-12T23:24:34+08:00,2,ES,W***p,"No es una manta refrigerada, es una manta normal. Suave, pero no refrigerada",
4,CJGY2064580,2406200640451621700,2507140607581613106,2025-07-12T20:30:14+08:00,5,BE,V***x,Parfait... à peine lessivés et installés qu'un de mes loulous les adopte déjà !,https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/2693cf65-c3c0-4e6a-95bd-7532c1bb168f.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/64d75d0c-2754-43ea-b352-3a9a09121945.jpg
4,CJGY2064580,2406200640451621700,2507140608041614406,2025-07-12T20:28:25+08:00,3,FR,P***t,59x51 pas 62x50,
4,CJGY2064580,2406200640451621700,2507140607581613119,2025-07-12T18:08:55+08:00,5,ES,K***p,"Muy buenas y bastante útiles, sobretodo para la época en la que estamos del verano. Mis perros han cogido las mantas con muy buena aceptación.",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/9d6b8a75-4da4-4add-acce-6244ad1c0251.jpg
4,CJGY2064580,2406200640451621700,2507140608041614300,2025-07-12T15:53:47+08:00,5,BE,E***v,Pas encore utilisé . ..à suivre,
4,CJGY2064580,2406200640451621700,2507140607581613107,2025-07-12T12:52:35+08:00,5,FR,T***t,"joli tapis, identique en taille et couleur à la photo du site..",
4,CJGY2064580,2406200640451621700,2507140608041614403,2025-07-12T12:29:50+08:00,4,UA,D***m,Моя кошка любит этот коврик даже в прохладное время ,https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/1deb1d0a-82a4-417a-97b2-4a9e83d7d401.jpg
4,CJGY2064580,2406200640451621700,2507140608041614408,2025-07-12T10:18:49+08:00,2,ES,A***t,a mi perro no le gusta es una manta normal no refrescante,
4,CJGY2064580,2406200640451621700,2507140607581613110,2025-07-12T10:17:11+08:00,5,ES,Q***h,"Está bien,  a mí gato e gusta.",
4,CJGY2064580,2406200640451621700,2507140607581613104,2025-07-12T09:42:15+08:00,5,KR,T***t,멍멍이들좋아해요,
4,CJGY2064580,2406200640451621700,2507140608061613500,2025-07-12T09:07:35+08:00,2,UA,R***h,"Чесно поки незрозуміло як то пес має охолоджуватись, не оцінив((( А москалі нехай згорять у пеклі!!!",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/d9f0bbac-23cb-473b-9016-6d1ba1e781c8.jpg
4,CJGY2064580,2406200640451621700,2507140607581613116,2025-07-12T06:57:51+08:00,5,ES,Q***o,"Igual tanto como en la foto como en la descripción. Si lo tocas, notas que está fresquito.",
4,CJGY2064580,2406200640451621700,2507140608041614001,2025-07-12T00:19:16+08:00,5,ES,J***m,es genial,
4,CJGY2064580,2406200640451621700,2507140608061613600,2025-07-11T22:55:54+08:00,1,IT,B***g,"Normalissimo tappeto di stoffa, non ha nulla di refrigerante ",
4,CJGY2064580,2406200640451621700,2507140608061613800,2025-07-11T20:57:50+08:00,5,UK,W***i,Great item,
4,CJGY2064580,2406200640451621700,2507140607581613112,2025-07-11T18:03:32+08:00,5,PT,S***t,Bom,
4,CJGY2064580,2406200640451621700,2507140607581613111,2025-07-11T14:44:48+08:00,5,FR,J***w,Super ma petite chienne l’adore ,
4,CJGY2064580,2406200640451621700,2507140608061613503,2025-07-11T10:11:56+08:00,1,ES,L***i,no refresca casi nada,
4,CJGY2064580,2406200640451621700,2507140608041613900,2025-07-11T09:57:53+08:00,5,ES,H***z,"buena manta
",
4,CJGY2064580,2406200640451621700,2507140608061613605,2025-07-11T09:39:05+08:00,5,MX,N***b,"consideré sería mas grande pero resultó ser error de selección,  aún así es más recomendable para razas pequeñas tipo chihuahua",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/f999775d-1a5f-47df-bbb7-2b458a43bf6c.jpg
4,CJGY2064580,2406200640451621700,2507140607581613100,2025-07-11T09:00:02+08:00,5,UA,J***b,"Все супер, только не молу понять, как его можно охладить? В холодильник ставить? Или мочить в холодной воде?",
4,CJGY2064580,2406200640451621700,2507140607581613105,2025-07-11T07:50:42+08:00,5,ES,R***q,perfecto gracias,
4,CJGY2064580,2406200640451621700,2507140610381616901,2025-07-11T07:20:55+08:00,1,ES,I***j,mis gatos no le hicieron ni caso,
4,CJGY2064580,2406200640451621700,2507140608041614000,2025-07-11T05:56:41+08:00,5,BE,K***i,بارده ومريحه المقاس صغير لهدا انصح بمقاس نقاس اكبر,https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/ab017699-1a14-4124-8fd5-5436436cc498.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/2529f41f-a350-45d9-bf7f-b940fd2d43e3.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/bb7a8629-6239-422a-a0e8-771734b9c689.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/551f2305-9ebf-4aed-bc91-fbb2c9ea0723.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/98e754c2-9c01-40ee-9369-6ee39770f35a.jpg
4,CJGY2064580,2406200640451621700,2507140608111613113,2025-07-11T04:43:41+08:00,5,UK,E***n,Good quality good price great little cooling mats for the dog and they work,
